Test Sponsor$System Name$Auto  Parallel$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Cores/  Chip$Processor # Threads/  Core$Results # Base$Results # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory
ACTION S.A.$ACTINA SOLAR 222 S6 (Intel Xeon E5-2660 v3, 2.60 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$2$10$1$107$111$Nov-2015$Intel Xeon E5-2698 v3$2300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$40 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2680 v3, 2.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$2$12$1$107$112$Nov-2008$Intel Xeon E5410$2333$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$16 GB (8x 2 GB FB-DIMM, PC-5300, ECC, 5-5-5)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2670 v3, 2.30 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$2$12$1$103$107$Feb-2016$Intel Xeon E5-2637 v3$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$15 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2660 v3, 2.60 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$2$10$1$106$110$Jun-2011$Intel Xeon X5650$2667$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$48 GB (6 x 8 GB 2Rx4 PC3-10600R-9, ECC)
ACTION S.A.$ACTINA SOLAR 210 X6 (Intel Xeon E5-2697 v3, 2.60 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$28$2$14$1$108$113$Sep-2016$Intel Xeon E5-2603 v4$1700$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$15 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R, running at 1866 MHz)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2697 v3, 2.60 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$28$2$14$1$108$113$Aug-2016$Intel Xeon E5-2620 v4$2100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$20 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400T-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 222 S6 (Intel Xeon E5-2690 v3, 2.60 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$2$12$1$111$115$Aug-2016$Intel Xeon E5-2630 v4$2200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$25 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400T-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 202 S6 (Intel Xeon E5-2697 v3, 2.60 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$28$2$14$1$109$114$Nov-2016$Intel Xeon E5-2640 v4$2400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$25 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400T-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 210 X6 (Intel Xeon E5-2698 v3, 2.30 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$2$16$1$104$110$Nov-2016$Intel Xeon E5-2650 v4$2200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$30 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400T-R)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2698 v3, 2.30 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$2$16$1$105$110$Sep-2016$Intel Xeon E5-2650 v4$2200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$30 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400T-R)
ACTION S.A.$ACTINA SOLAR 222 S6 (Intel Xeon E5-2697 v3, 2.60 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$28$2$14$1$109$114$Oct-2015$Intel Xeon E5-2660 v3$2600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$25 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)
ACTION S.A.$ACTINA SOLAR 222 S6 (Intel Xeon E5-2698 v3, 2.30 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$32$2$16$1$105$111$Oct-2015$Intel Xeon E5-2670 v3$2300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$30 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)
ACTION S.A.$ACTINA SOLAR 110 S6 (Intel Xeon E3-1220 v3, 3.10 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$72.4$73.7$Oct-2015$Intel Xeon E5-2680 v3$2500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$30 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2699 v3, 2.30 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$36$2$18$1$104$110$Oct-2015$Intel Xeon E5-2683 v3$2000$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$35 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)
ACTION S.A.$ACTINA SOLAR 222 S6 (Intel Xeon E5-2699 v3, 2.30 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$36$2$18$1$104$110$Nov-2015$Intel Xeon E5-2697 v3$2600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$35 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)
ACTION S.A.$ACTINA SOLAR 220 S6 (Intel Xeon E5-2637 v3, 3.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$104$108$Nov-2015$Intel Xeon E5-2698 v3$2300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$40 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)
ACTION S.A.$ACTINA SOLAR 222 S6 (Intel Xeon E5-2650 v4, 2.20 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$2$12$1$107$112$Dec-2015$Intel Xeon E5-2699 v3$2300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$45 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)
ACTION S.A.$ACTINA SOLAR 210 X6 (Intel Xeon E5-2620 v4, 2.10 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$98.8$105$Feb-2017$Intel Xeon E5-2620 v4$2100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$20 MB I+D on chip per chip$512 GB (16 x 32 GB 2Rx4 PC4-2400T-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 210 X6 (Intel Xeon E5-2630 v4, 2.20 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$2$10$1$105$111$Feb-2017$Intel Xeon E5-2630 v4$2200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$25 MB I+D on chip per chip$512 GB (16 x 32 GB 2Rx4 PC4-2400T-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2620 v4, 2.10 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$98.8$105$Mar-2017$Intel Xeon E5-2640 v4$2400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$25 MB I+D on chip per chip$512 GB (16 x 32 GB 2Rx4 PC4-2400T-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2630 v4, 2.20 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$2$10$1$105$111$Jul-2016$Intel Xeon E5-2650 v4$2200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$30 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400T-R)
ACTION S.A.$ACTINA SOLAR 210 X6 (Intel Xeon E5-2603 v4, 1.70 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$68.1$70.2$Oct-2015$Intel Xeon E5-2660 v3$2600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$25 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400P-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 210 X6 (Intel Xeon E5-2650 v4, 2.20 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$2$12$1$106$111$Oct-2015$Intel Xeon E5-2670 v3$2300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$30 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400P-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2603 v4, 1.70 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$68.3$70.1$Oct-2015$Intel Xeon E5-2680 v3$2500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$30 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400P-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2650 v4, 2.20 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$2$12$1$106$111$Oct-2015$Intel Xeon E5-2683 v3$2000$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$35 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400P-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 210 X6 (Intel Xeon E5-2640 v4, 2.40 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$2$10$1$106$111$Nov-2015$Intel Xeon E5-2690 v3$2600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$30 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400P-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2640 v4, 2.40 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$2$10$1$106$111$Nov-2015$Intel Xeon E5-2697 v3$2600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$35 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400P-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 220 X6 (Intel Xeon E5-2650 v4, 2.20 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$2$12$1$102$106$Nov-2015$Intel Xeon E5-2698 v3$2300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$40 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400P-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 232 S6 (Intel Xeon E5-2603 v4, 1.70 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$67.3$68.6$Dec-2015$Intel Xeon E5-2699 v3$2300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$45 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2400P-R, running at 2133 MHz)
ACTION S.A.$ACTINA SOLAR 210 X6 (Intel Xeon E5-2650 v4, 2.20 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$2$12$1$102$106$Nov-2016$Intel Xeon E5-2603 v4$1700$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$15 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133T-R, running at 1866 MHz)
ACTION S.A.$ACTINA SOLAR 222 S6 (Intel Xeon E5-2620 v4, 2.10 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$96.0$100$Aug-2015$Intel Xeon E5-2680 v3$2500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$30 MB I+D on chip per chip$256 GB (16 x 16 GB 2Rx4 PC4-2133P-R)
ACTION S.A.$ACTINA SOLAR 222 S6 (Intel Xeon E5-2630 v4, 2.20 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$2$10$1$101$105$Jun-2015$Intel Xeon E3-1231 v3$3400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3-12800U-13)
ACTION S.A.$ACTINA SOLAR 222 S6 (Intel Xeon E5-2640 v4, 2.40 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$20$2$10$1$106$111$Nov-2008$Intel Xeon X3330$2660$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip, 3 MB shared / 2 cores$None$8 GB (4x 2 GB DDR2 ECC, PC-6400)
ASUSTeK Computer Inc.$ASUS DSEB-DG Server Motherboard (Intel XEON X5482)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$21.2$25.1$Jun-2007$Intel Core 2 Duo T7400$2167$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$2 GB (2x1GB Nanya DDR2-667 CL5)
ASUSTeK Computer Inc.$ASUS DSEB-DG server motherboard (Intel Xeon X5492)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$27.4$28.6$Jul-2007$Intel Core 2 Duo E6750$2666$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$2 GB (2x1GB ELPIDA PC3-8500U-7-00-BP DDR3-1066 7-7-7-20)
ASUSTeK Computer Inc.$ASUS P6T WS PRO workstation motherboard (Intel Core i7-965 Extreme Edition)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$2$37.4$39.3$Jul-2007$Intel Core 2 Duo E6850$3000$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$2 GB (2x1GB ELPIDA PC3-8500U-7-00-BP DDR3-1066 7-7-7-20)
ASUSTeK Computer Inc.$ASUS P6T6 WS REVOLUTION workstation motherboard (Intel Core i7-965 Extreme Edition)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$2$38.5$39.7$Jul-2007$Intel Core 2 Quad Q6600$2400$32 KB I + 32 KB D on chip per core$8 MB I+D on chip per chip, 4 MB shared / 2 cores$None$2 GB (2x1GB ELPIDA PC3-8500U-7-00-BP DDR3-1066 7-7-7-20)
ASUSTeK Computer Inc.$ASUS Z8PE-D12X server motherboard (Intel Xeon X5570)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$2$38.4$40.7$Jun-2007$Intel Core 2 Duo T7700$2400$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$2 GB (2x1GB Hynix DDR2-667 CL5)
ASUSTeK Computer Inc.$ASUS RS700-E6 server system (Intel Xeon X5570)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$2$38.4$40.6$Jun-2007$Intel Core 2 Duo X7800$2600$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$2 GB (2x1GB Hynix DDR2-667 CL5)
ASUSTeK Computer Inc.$ASUS Z8NA-D6 server motherboard (Intel Xeon X5570)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$2$38.4$40.8$Aug-2006$AMD Athlon 64 FX-62$2800$64 KB I + 64 KB D on chip per core$1 MB I+D on chip per core$None$2 GB (2 1GB Corsair TWIN2X2048-8500C5 DDR2 1066 CL5-5-5)
ASUSTeK Computer Inc.$ASUS TS700-E6 (Z8PE-D12X) server system (Intel Xeon W5580)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$2$39.7$42.0$Jul-2016$AMD A10 PRO-7800B$3500$192 KB I on chip per chip, 96 KB I shared / 2 cores; 16 KB D on chip per core$4 MB I+D on chip per chip, 2 MB shared / 2 cores$None$8 GB (2 x 4 GB 2Rx8 PC3-10600U-11)
ASUSTeK Computer Inc.$ASUS RS500-E6/RS520-E6 (Z8NR-D12) server system (Intel Xeon X5570)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$2$38.4$40.8$Nov-2014$AMD A10 PRO-7800B$3500$192 KB I on chip per chip, 96 KB I shared / 2 cores; 16 KB D on chip per core$4 MB I+D on chip per chip, 2 MB shared / 2 cores$None$8 GB (2 x 4 GB 2Rx4 PC3-17000U-14)
ASUSTeK Computer Inc.$ASUS RS700D (Z8NH-D12) server system (Intel Xeon X5570)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$2$39.2$40.8$Jul-2016$AMD A10 PRO-7850B$3700$192 KB I on chip per chip, 96 KB I shared / 2 cores; 16 KB D on chip per core$4 MB I+D on chip per chip, 2 MB shared / 2 cores$None$8 GB (2 x 4 GB 2Rx8 PC3-10600U-11)
ASUSTeK Computer Inc.$ASUS Z8PE-D18 server motherboard (Intel Xeon X5570)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$2$38.5$40.8$Nov-2014$AMD A10 PRO-7850B$3700$192 KB I on chip per chip, 96 KB I shared / 2 cores; 16 KB D on chip per core$4 MB I+D on chip per chip, 2 MB shared / 2 cores$None$8 GB (2 x 4 GB 2Rx4 PC3-17000U-14)
ASUSTeK Computer Inc.$ASUS TS500-E6 (Z8NA-D6) server system (Intel Xeon X5570)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$2$38.6$40.8$Jul-2014$AMD A10-7700K$3400$192 KB I on chip per chip, 96 KB I shared / 2 cores; 16 KB D on chip per core$4 MB I+D on chip per chip, 2 MB shared / 2 cores$None$8 GB (2 x 4 GB 2Rx4 PC3-12800U-11)
ASUSTeK Computer Inc.$ASUS TS300-E6 (P7F-E) server system (Intel Xeon X3470)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$2$37.8$39.8$Jun-2016$AMD A10-7700K$3400$192 KB I on chip per chip, 96 KB I shared / 2 cores; 16 KB D on chip per core$4 MB I+D on chip per chip, 2 MB shared / 2 cores$None$8 GB (2 x 4 GB 2Rx8 PC3-10600U-11)
ASUSTeK Computer Inc.$ASUS RS300-E6 (P7F-E) server system (Intel Xeon X3470)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$2$37.8$39.8$Jul-2016$AMD A10-7800$3500$192 KB I on chip per chip, 96 KB I shared / 2 cores; 16 KB D on chip per core$4 MB I+D on chip per chip, 2 MB shared / 2 cores$None$8 GB (2 x 4 GB 2Rx8 PC3-10600U-11)
ASUSTeK Computer Inc.$ASUS RS100-E6 (P7F-M) server system (Intel Xeon X3470)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$2$38.1$40.1$Jul-2014$AMD A10-7850K$3700$192 KB I on chip per chip, 96 KB I shared / 2 cores; 16 KB D on chip per core$4 MB I+D on chip per chip, 2 MB shared / 2 cores$None$8 GB (2 x 4 GB 2Rx4 PC3-12800U-11)
ASUSTeK Computer Inc.$ASUS TS100-E6 (P7F-X) server system (Intel Xeon X3470)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$2$38.1$40.1$Mar-2016$AMD A10-7850K$3700$192 KB I on chip per chip, 96 KB I shared / 2 cores; 16 KB D on chip per core$4 MB I+D on chip per chip, 2 MB shared / 2 cores$None$8 GB (2 x 4 GB 2Rx8 PC3-10600U-11)
ASUSTeK Computer Inc.$ASUS TS700-E6 (Z8PE-D12X) server system (Intel Xeon X5680)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$2$44.9$48.1$Mar-2016$AMD A10-7870K$3900$192 KB I on chip per chip, 96 KB I shared / 2 cores; 16 KB D on chip per core$4 MB I+D on chip per chip, 2 MB shared / 2 cores$None$8 GB (2 x 4 GB 2Rx8 PC3-10600U-11)
ASUSTeK Computer Inc.$ASUS RS700-E6 server system (Intel Xeon X5680)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$2$45.2$48.0$Aug-2016$AMD A10-8750$3600$192 KB I on chip per chip, 96 KB I shared / 2 cores; 16 KB D on chip per core$4 MB I+D on chip per chip, 2 MB shared / 2 cores$None$8 GB (2 x 4 GB 2Rx8 PC3-10600U-11)
ASUSTeK Computer Inc.$ASUS RS700D-E6 (Z8NH-D12) server system (Intel Xeon X5680)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$2$45.1$48.0$Mar-2016$AMD A4-7300$3800$64 KB I on chip per chip; 16 KB D on chip per core$1 MB I+D on chip per chip$None$8 GB (2 x 4 GB 2Rx8 PC3-10600U-11)
ASUSTeK Computer Inc.$ASUS RS520-E6 (Z8NR-D12) server system (Intel Xeon X5680)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$2$44.9$47.7$May-2016$AMD A6 PRO-7400B$3500$96 KB I on chip per chip; 16 KB D on chip per core$1 MB I+D on chip per chip$None$8 GB (2 x 4 GB 2Rx8 PC3-10600U-11)
ASUSTeK Computer Inc.$ASUS RS500-E6 (Z8NR-D12) server system (Intel Xeon X5680)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$2$44.9$47.7$Nov-2014$AMD A6 PRO-7400B$3500$96 KB I on chip per chip; 16 KB D on chip per core$1 MB I+D on chip per chip$None$8 GB (2 x 4 GB 2Rx4 PC3-14900U-13)
ASUSTeK Computer Inc.$ASUS TS300-E6 (P7F-E) server system (Intel Xeon X3440)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$2$32.6$34.3$Jul-2016$AMD A6 PRO-8550B$3700$96 KB I on chip per chip; 16 KB D on chip per core$1 MB I+D on chip per chip$None$8 GB (2 x 4 GB 2Rx8 PC3-10600U-11)
