Test Sponsor$System Name$Auto  Parallel$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Cores/  Chip$Processor # Threads/  Core$Results # Base$Results # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory
Fujitsu$PRIMERGY TX300 S7, Intel Xeon E5-2665, 2.40 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$46.6$49.9$Jan-2010$Intel Pentium G6950$2800$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$3 MB I+D on chip per chip$8 GB (2x4 GB PC3-10600E, 2 rank, CL9-9-9, ECC, see add'l detail in notes)
Fujitsu$PRIMERGY TX300 S7, Intel Xeon E5-2667, 2.90 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$50.3$53.7$Feb-2010$Intel Xeon L3406$2267$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$4 MB I+D on chip per chip$8 GB (2x4 GB PC3-10600E, 2 rank, CL9-9-9, ECC)
Fujitsu$PRIMERGY TX300 S7, Intel Xeon E5-2670, 2.60 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$49.4$52.9$Jan-2010$Intel Xeon L3426$1867$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (4x4 GB PC3-10600R, 2 rank, CL9-9-9, ECC)
Fujitsu$PRIMERGY TX300 S7, Intel Xeon E5-2680, 2.70 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$51.8$55.8$Dec-2009$Intel Xeon X3430$2400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (4x4 GB PC3-10600R, 2 rank, CL9-9-9, ECC)
Fujitsu$PRIMERGY TX300 S7, Intel Xeon E5-2690, 2.90 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$55.8$60.7$Jan-2010$Intel Xeon X3440$2533$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (4x4 GB PC3-10600R, 2 rank, CL9-9-9, ECC)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2603, 1.80 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$26.6$27.8$Jan-2010$Intel Xeon X3450$2667$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (4x4 GB PC3-10600R, 2 rank, CL9-9-9, ECC)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2609, 2.40 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$34.6$36.3$Dec-2009$Intel Xeon X3460$2800$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (4x4 GB PC3-10600R, 2 rank, CL9-9-9, ECC)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2620, 2.0 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$37.0$39.3$Dec-2009$Intel Xeon X3470$2933$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (4x4 GB PC3-10600R, 2 rank, CL9-9-9, ECC)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2630, 2.30 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$41.2$43.8$Sep-2011$Intel Celeron G530$2400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$2 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600E-9, ECC, running at 1067 MHz and CL7)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2630L, 2.0 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$36.8$39.1$Sep-2011$Intel Celeron G530T$2000$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$2 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600E-9, ECC, running at 1067 MHz and CL7)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2637, 3.0 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$45.1$47.5$Jun-2011$Intel Core i3-2100$3100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$3 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600E-9, ECC)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2640, 2.50 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$43.8$46.6$Jun-2011$Intel Core i3-2120$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$3 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600E-9, ECC)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2643, 3.30 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$49.3$52.0$May-2011$Intel Pentium G620$2600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$3 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600E-9, ECC, running at 1067 MHz and CL7)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2650, 2.0 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$42.1$45.4$May-2011$Intel Xeon E3-1220$3100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600E-9, ECC)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2650L, 1.80 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$35.2$37.7$May-2011$Intel Xeon E3-1220L$2200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$3 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600E-9, ECC)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2660, 2.20 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$45.2$48.3$Apr-2011$Intel Xeon E3-1230$3200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600E-9, ECC)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2665, 2.40 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$47.0$50.3$May-2011$Intel Xeon E3-1240$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600E-9, ECC)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2667, 2.90 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$50.8$54.2$May-2011$Intel Xeon E3-1260L$2400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600E-9, ECC)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2670, 2.60 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$49.4$52.7$May-2011$Intel Xeon E3-1270$3400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600E-9, ECC)
Fujitsu$PRIMERGY RX300 S7, Intel Xeon E5-2680, 2.70 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$52.2$56.0$May-2011$Intel Xeon E3-1280$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600E-9, ECC)
Fujitsu$CELSIUS R920 (Intel Xeon E5-2637)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$44.6$47.2$May-2012$Intel Celeron G550$2600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$2 MB I+D on chip per chip$16 GB (2 x 8 GB 2Rx8 PC3-12800E-11, ECC, running at 1067 MHz and CL7)
Fujitsu$CELSIUS R920 (Intel Xeon E5-2643)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$48.8$51.9$May-2012$Intel Core i3-3220$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$3 MB I+D on chip per chip$16 GB (2 x 8 GB 2Rx8 PC3-12800E-11, ECC)
Fujitsu$CELSIUS R920 (Intel Xeon E5-2650)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$41.9$45.4$May-2012$Intel Pentium G640$2800$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$3 MB I+D on chip per chip$16 GB (2 x 8 GB 2Rx8 PC3-12800E-11, ECC, running at 1067 MHz and CL7)
Fujitsu$CELSIUS R920 (Intel Xeon E5-2665)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$46.3$50.1$May-2012$Intel Xeon E3-1220 v2$3100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (2 x 8 GB 2Rx8 PC3-12800E-11, ECC)
Fujitsu$CELSIUS M720 (Intel Xeon E5-1603)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$38.3$40.5$May-2012$Intel Xeon E3-1220L v2$2300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$3 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-12800E-11, ECC)
Fujitsu$CELSIUS M720 (Intel Xeon E5-1607)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$40.8$43.1$May-2012$Intel Xeon E3-1230 v2$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (2 x 8 GB 2Rx8 PC3-12800E-11, ECC)
Fujitsu$CELSIUS M720 (Intel Xeon E5-1660)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$6$1$6$1$54.0$57.7$May-2012$Intel Xeon E3-1240 v2$3400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (2 x 8 GB 2Rx8 PC3-12800E-11, ECC)
Fujitsu$PRIMERGY RX100 S7p, Intel Xeon E3-1220L v2, 2.30 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$2$1$2$1$43.4$46.3$May-2012$Intel Xeon E3-1265L v2$2500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (2 x 8 GB 2Rx8 PC3-12800E-11, ECC)
Fujitsu$PRIMERGY RX100 S7p, Intel Xeon E3-1220 v2, 3.10 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$48.6$51.7$Apr-2012$Intel Xeon E3-1270 v2$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (2 x 8 GB 2Rx8 PC3-12800E-11, ECC)
Fujitsu$PRIMERGY RX100 S7p, Intel Xeon E3-1230 v2, 3.30 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$51.0$54.2$Apr-2012$Intel Xeon E3-1280 v2$3600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (2 x 8 GB 2Rx8 PC3-12800E-11, ECC)
Fujitsu$PRIMERGY RX100 S7p, Intel Xeon E3-1240 v2, 3.40 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$52.2$55.5$Sep-2013$Intel Core i3-4330$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$4 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY RX100 S7p, Intel Xeon E3-1265L v2, 2.50 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$48.0$51.3$Aug-2013$Intel Pentium G3420$3200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$3 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY RX100 S7p, Intel Xeon E3-1270 v2, 3.50 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$53.3$56.7$Sep-2013$Intel Xeon E3-1220 v3$3100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY RX100 S7p, Intel Xeon E3-1280 v2, 3.60 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$54.3$57.9$Sep-2013$Intel Xeon E3-1230 v3$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX120 S3p, Intel Xeon E3-1220L v2, 2.30 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$2$1$2$1$43.7$46.6$Sep-2013$Intel Xeon E3-1230L v3$1800$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX120 S3p, Intel Xeon E3-1220 v2, 3.10 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$48.6$51.7$Sep-2013$Intel Xeon E3-1240 v3$3400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX120 S3p, Intel Xeon E3-1230 v2, 3.30 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$51.1$54.3$Sep-2013$Intel Xeon E3-1265L v3$2500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX120 S3p, Intel Xeon E3-1240 v2, 3.40 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$52.2$55.5$Sep-2013$Intel Xeon E3-1270 v3$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX120 S3p, Intel Xeon E3-1265L v2, 2.50 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$48.0$51.4$Sep-2013$Intel Xeon E3-1280 v3$3600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX120 S3p, Intel Xeon E3-1280 v2, 3.60 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$54.5$58.0$Jun-2014$Intel Celeron G1820$2700$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$2 MB I+D on chip per chip$16 GB (2 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX100 S3p, Intel Xeon E3-1220 v2, 3.10 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$48.7$51.7$Jun-2014$Intel Pentium G3420$3200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$3 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX100 S3p, Intel Xeon E3-1230 v2, 3.30 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$51.0$54.2$Jun-2014$Intel Xeon E3-1231 v3$3400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX100 S3p, Intel Xeon E3-1240 v2, 3.40 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$52.3$55.5$Jul-2014$Intel Xeon E3-1240L v3$2000$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (2 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX140 S1p, Intel Xeon E3-1220 v2, 3.10 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$48.6$51.7$May-2014$Intel Xeon E3-1241 v3$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX140 S1p, Intel Xeon E3-1230 v2, 3.30 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$51.1$54.3$Jun-2014$Intel Xeon E3-1271 v3$3600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX140 S1p, Intel Xeon E3-1240 v2, 3.40 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$52.2$55.5$Jun-2014$Intel Xeon E3-1275L v3$2700$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$32 GB (4 x 8 GB 2Rx8 PC3L-12800E-11, ECC)
Fujitsu$PRIMERGY TX140 S1p, Intel Xeon E3-1265L v2, 2.50 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$48.0$51.4$Dec-2015$Intel Celeron G3900$2800$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$2 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2133P-E)
Fujitsu$PRIMERGY TX140 S1p, Intel Xeon E3-1270 v2, 3.50 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$53.6$56.9$Nov-2015$Intel Core i3-6100$3700$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$3 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2133P-E)
Fujitsu$PRIMERGY TX140 S1p, Intel Xeon E3-1280 v2, 3.60 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$54.5$58.0$Dec-2015$Intel Pentium G4400$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$3 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2133P-E)
Fujitsu$PRIMERGY TX140 S1p, Intel Pentium G640, 2.80 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$2$1$2$1$34.4$36.3$Dec-2015$Intel Xeon E3-1220 v5$3000$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2133P-E)
Fujitsu$PRIMERGY RX100 S7p, Intel Celeron G550, 2.60 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$2$1$2$1$31.0$32.6$Jan-2016$Intel Xeon E3-1225 v5$3300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2133P-E)
Fujitsu$PRIMERGY RX100 S7p, Intel Pentium G640, 2.80 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$2$1$2$1$34.3$36.1$Nov-2015$Intel Xeon E3-1230 v5$3400$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2133P-E)
Fujitsu$PRIMERGY TX140 S1p, Intel Celeron G550, 2.60 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$2$1$2$1$NC$NC$Dec-2015$Intel Xeon E3-1240 v5$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2133P-E)
Fujitsu$PRIMERGY BX920 S3, Intel Xeon E5-2403, 1.80 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$26.6$28.0$Nov-2015$Intel Xeon E3-1240L v5$2100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2133P-E)
Fujitsu$PRIMERGY BX920 S3, Intel Xeon E5-2407, 2.20 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$32.2$33.7$Dec-2015$Intel Xeon E3-1260L v5$2900$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2133P-E)
Fujitsu$PRIMERGY BX920 S3, Intel Xeon E5-2420, 1.90 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$35.6$37.9$Dec-2015$Intel Xeon E3-1270 v5$3600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2133P-E)
Fujitsu$PRIMERGY BX920 S3, Intel Xeon E5-2430, 2.20 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$39.5$42.0$Nov-2015$Intel Xeon E3-1280 v5$3700$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2133P-E)
Fujitsu$PRIMERGY BX920 S3, Intel Xeon E5-2430L, 2.0 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$36.9$39.3$Mar-2017$Intel Xeon E3-1280 v6$3900$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$64 GB (4 x 16 GB 2Rx8 PC4-2400T-E)
Fujitsu$PRIMERGY BX920 S3, Intel Xeon E5-2440, 2.40 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$42.1$44.9$Jul-2009$Intel Xeon E5502$1867$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$4 MB I+D on chip per chip$48 GB (12x4 GB PC3-8500R, 2 rank, CL7-7-7, ECC, see add'l detail in notes)
Fujitsu$PRIMERGY BX920 S3, Intel Xeon E5-2450, 2.10 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$43.5$46.8$Aug-2009$Intel Xeon E5504$2000$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$4 MB I+D on chip per chip$48 GB (12x4 GB PC3-8500R, 2 rank, CL7-7-7, ECC, see add'l detail in notes)
Fujitsu$PRIMERGY BX920 S3, Intel Xeon E5-2450L, 1.80 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$35.1$37.7$Aug-2009$Intel Xeon E5506$2133$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$4 MB I+D on chip per chip$48 GB (12x4 GB PC3-8500R, 2 rank, CL7-7-7, ECC, see add'l detail in notes)
Fujitsu$PRIMERGY BX920 S3, Intel Xeon E5-2470, 2.30 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$46.5$49.9$Aug-2009$Intel Xeon X5550$2667$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$48 GB (6x8 GB PC3-10600R, 2 rank, CL9-9-9, ECC)
Fujitsu$CELSIUS W520 (Intel Xeon E3-1280 v2)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$2$54.2$57.7$Sep-2009$Intel Xeon X5560$2800$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$48 GB (6x8 GB PC3-10600R, 2 rank, CL9-9-9, ECC)
Fujitsu$PRIMERGY CX250 S1, Intel Xeon E5-2630L, 2.0 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$37.1$39.4$Apr-2010$Intel Xeon E5503$2000$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$4 MB I+D on chip per chip$48 GB (12x4 GB PC3-10600R, 2 rank, CL9-9-9, ECC, see add'l detail in notes)
Fujitsu$PRIMERGY CX250 S1, Intel Xeon E5-2637, 3.0 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$45.0$47.5$May-2010$Intel Xeon E5506$2133$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$4 MB I+D on chip per chip$48 GB (12x4 GB PC3-10600R, 2 rank, CL9-9-9, ECC, see add'l detail in notes)
Fujitsu$PRIMERGY CX250 S1, Intel Xeon E5-2640, 2.50 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$12$2$6$1$43.9$46.7$May-2010$Intel Xeon E5507$2267$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$4 MB I+D on chip per chip$48 GB (12x4 GB PC3-10600R, 2 rank, CL9-9-9, ECC, see add'l detail in notes)
Fujitsu$PRIMERGY CX250 S1, Intel Xeon E5-2643, 3.30 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$49.3$52.0$Mar-2011$Intel Xeon E5603$1600$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$4 MB I+D on chip per chip$48 GB (12 x 4 GB 2Rx4 PC3-10600R-9, ECC, running at 1067 MHz and CL7)
Fujitsu$PRIMERGY CX250 S1, Intel Xeon E5-2650, 2.0 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$41.9$45.3$Mar-2011$Intel Xeon E5606$2133$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$48 GB (12 x 4 GB 2Rx4 PC3-10600R-9, ECC, running at 1067 MHz and CL7)
Fujitsu$PRIMERGY CX250 S1, Intel Xeon E5-2650L, 1.80 GHz  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$2$8$1$35.0$37.5$Mar-2011$Intel Xeon E5607$2267$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$48 GB (12 x 4 GB 2Rx4 PC3-10600R-9, ECC, running at 1067 MHz and CL7)
